trial_number,mean_r2,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_bin,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state,best_r2_so_far
71,0.9499894105556426,0.5201801267749047,1.3254488839480083,depthwise,0.1392550650004961,466,7,15,1885,0.07188964873479024,3.9790950396583913,0.7138123681074844,COMPLETE,0.9547064890722685
72,0.9517631407944297,0.5360801592098182,0.5011888151139219,depthwise,0.11879218426850484,455,7,15,1959,0.14118101070345818,3.1687170921142056,0.693393666069922,COMPLETE,0.9547064890722685
73,0.9547191471302371,0.5400198329447992,0.4774246091919153,depthwise,0.11606638175688583,435,6,14,2437,0.16966038183925625,7.0995933380617755,0.6878094606464604,COMPLETE,0.9547191471302371
74,0.9497383867495511,0.5922974446382864,0.44740780090248344,depthwise,0.097215046403315,438,6,13,2351,0.24607970451914363,13.472167919410504,0.6792688961926354,COMPLETE,0.9547191471302371
75,0.9518736347046213,0.5409872721025178,0.25302249921996667,depthwise,0.12032664341938734,468,6,14,2702,0.5792176911706598,7.091329744607118,0.6477801295470494,COMPLETE,0.9547191471302371
76,0.9477812775088432,0.5637283330999991,0.22884570971897875,depthwise,0.08305354365587686,427,6,14,2861,0.5688829035393836,21.1698395167611,0.6533345871132564,COMPLETE,0.9547191471302371
77,0.9540379786558798,0.5449009864943786,0.15968434221971356,depthwise,0.18122637090586757,449,6,13,2711,0.3673323599397913,7.824058375949969,0.6413991116420954,COMPLETE,0.9547191471302371
78,0.9515025009231858,0.5845431313362187,0.6322425834790802,lossguide,0.1819829228436877,449,10,13,2759,0.23864202604342086,0.0035650074523410416,0.6141532897867812,COMPLETE,0.9547191471302371
79,0.9507133708723835,0.6032693472641679,0.1746215816657523,depthwise,0.1701935480231914,439,6,11,2436,0.3697291716668023,31.445157627545072,0.6852471051788349,COMPLETE,0.9547191471302371
80,0.9511632975698326,0.6219484994218747,0.3998554306409923,depthwise,0.1828580514809931,502,6,13,3030,0.07858860426953186,1.6668281865184946,0.6617487055167088,COMPLETE,0.9547191471302371
81,0.9514373444667665,0.546646658892711,0.26828858973087294,depthwise,0.14507633568488593,470,6,14,2651,0.5418430274284594,6.870825653163312,0.6458785184973256,COMPLETE,0.9547191471302371
82,0.9542629183850707,0.5099632302681965,0.09339645174466701,depthwise,0.1102783941980456,447,6,8,2667,0.35790261406269375,7.9457389138258625,0.6381334504597499,COMPLETE,0.9547191471302371
83,0.9385768022471849,0.5002168661620787,0.8021217938169631,depthwise,0.028952428849008355,482,5,9,2445,0.26905444238126053,12.044473706805658,0.6378213780277815,COMPLETE,0.9547191471302371
84,0.913260059466128,0.5116808792502013,0.013712623685043057,depthwise,0.006365077028606674,444,6,8,2240,0.19300844382525253,5.244247018182279,0.6737840317238956,COMPLETE,0.9547191471302371
85,0.949618730432878,0.5610911960599116,0.4666911454579369,depthwise,0.07342501612779608,414,5,11,2921,0.3405350763308387,8.710032997804497,0.6231040748479748,COMPLETE,0.9547191471302371
86,0.9471048250064278,0.5518626080827534,0.13603223247157883,depthwise,0.06010611187630044,428,6,9,2155,0.10290813811649799,21.405283578681047,0.6616984709049316,COMPLETE,0.9547191471302371
87,0.9494800157560176,0.5303425341438823,0.5492150643194682,depthwise,0.10185317356759961,401,6,10,1597,1.3961130424145805,13.755626189314796,0.7039422616651346,COMPLETE,0.9547191471302371
88,0.9506850766126475,0.7162316052987134,0.3581682304732296,depthwise,0.1162332603668988,450,5,8,1799,0.46682380847016175,2.5615601697227364,0.6013631002479524,COMPLETE,0.9547191471302371
89,0.9443395427865673,0.5147262132108905,0.6915193511443145,depthwise,0.13667886565218604,482,6,12,2596,0.05157468484984869,55.53518486637546,0.6550798625777072,COMPLETE,0.9547191471302371
90,0.9473062860029607,0.6609469641615321,0.8105806540185263,depthwise,0.18271628038097007,383,6,7,3192,0.7620272523382317,7.973975539208766,0.637638149998725,COMPLETE,0.9547191471302371
91,0.9560424696060282,0.5412857740344325,0.2780636244433339,depthwise,0.11636007298898746,462,6,14,2650,0.6618869857715567,5.3152016256458605,0.6845396982466954,COMPLETE,0.9560424696060282
92,0.9552501307966637,0.5283632582325685,0.17827160964412497,depthwise,0.15474636067139913,433,6,13,2826,0.3475184813222783,5.184907270981269,0.684234952759668,COMPLETE,0.9560424696060282
93,0.952737554200749,0.5330090410737608,0.09214567622461756,depthwise,0.1120560109331276,439,6,14,2459,0.32256401916099137,5.157710495291317,0.6710864261167927,COMPLETE,0.9560424696060282
94,0.9542261264107538,0.5695726847437478,0.10647654067534874,depthwise,0.08632886804048102,436,5,14,2790,1.002937055272912,5.375251389338437,0.6667133839760815,COMPLETE,0.9560424696060282
95,0.9458657517343994,0.5623473377965522,0.17982152353243186,depthwise,0.08429228261783732,463,5,14,2958,1.758983510034533,10.243178897473616,0.6254847723837523,COMPLETE,0.9560424696060282
96,0.9506123100513882,0.5807067303572296,0.0035938424714989647,depthwise,0.10035944216763233,415,6,16,2823,1.1261570057089496,3.026363835956485,0.7050623383585731,COMPLETE,0.9560424696060282
97,0.9482209520346251,0.5497693231678948,0.3084172879166592,lossguide,0.08948245671079873,450,5,13,2696,0.9691444750233362,17.81444977685512,0.6625108050973423,COMPLETE,0.9560424696060282
98,0.950440726618436,0.5684434409828332,0.12152879441637898,depthwise,0.12957401207355027,432,5,13,2821,2.4176159801125876,4.635637715815037,0.8760916280664348,COMPLETE,0.9560424696060282
99,0.9321471081185022,0.5410929142988626,4.102559008274181,depthwise,0.07651321504739446,473,5,16,3200,0.11751977611985655,9.891993706939619,0.6108433199298906,COMPLETE,0.9560424696060282
