Day,Dose,Elution_Cumulative,ReleaseRate
465,5,4123.239705,6.079092229
479,5,4143.948301,11.36229556
480,5,4156.016533,11.40189108
494,5,4185.040188,12.02831081
495,5,4197.779584,11.3092354
501,5,4214.149215,2.409418064
508,5,4228.411169,2.702634625
509,5,4231.208834,2.627527595
515,5,4240.849053,1.778317068
522,5,4254.698786,6.832648036
523,5,4262.224879,7.061022302
536,5,4275.421221,1.382665871
542,5,4284.735082,1.522497474
549,5,4295.149094,8.3757685
550,5,4304.50887,8.372473024
556,5,4319.200801,2.195570936
563,5,4332.502943,2.329074375
564,5,4334.89327,2.195573018
571,5,4340.719336,0.862985848
577,5,4346.055089,-3.07207169
578,5,4342.32279,-3.461293267
592,5,4346.981808,5.203007133
593,5,4352.532688,5.2541707
607,5,4367.936055,-0.010891433
608,5,4367.845797,-0.14478311
621,5,4356.748873,6.395894819
622,5,4363.702422,6.513722984
635,5,4374.050224,-0.675096874
636,5,4373.261967,-0.706854429
649,5,4377.829894,1.851615214
650,5,4379.796912,1.873483654
663,5,4388.344895,0.657537154
1,10,27.51338672,44.00847127
2,10,71.52185799,50.27504969
3,10,128.0634861,57.24189281
4,10,186.0056436,49.59378771
8,10,250.8068778,57.56307571
9,10,318.7106453,67.9689468
10,10,386.7447714,69.00950815
11,10,456.7296616,58.22120719
14,10,525.5201361,38.29053087
15,10,568.9307912,49.36741135
16,10,624.2549588,58.55822035
17,10,686.0472319,65.7783547
18,10,755.8116682,60.12366427
21,10,849.4157128,84.60759338
22,10,951.8253879,104.5285116
23,10,1058.472736,106.5155195
24,10,1164.856427,111.4490805
25,10,1281.370897,98.90144192
28,10,1419.55797,26.71350392
29,10,1439.821856,25.1334685
30,10,1469.824907,33.7893635
31,10,1507.400583,40.3223895
32,10,1550.469686,37.59530292
35,10,1613.991394,58.78252017
36,10,1685.31012,73.2220915
37,10,1760.435577,76.9968865
38,10,1839.303893,80.5130675
39,10,1921.461712,69.34389075
42,10,2014.16803,7.25131425
43,10,2013.535747,-1.3899525
44,10,2011.388125,1.0994835
46,10,2026.575514,7.114189292
52,10,2060.629556,22.41166252
53,10,2085.83055,21.903481
56,10,2121.863376,18.3093355
57,10,2142.272176,23.262275
58,10,2168.387926,28.3948615
59,10,2199.061899,32.6488505
60,10,2233.685627,29.80672567
63,10,2279.752783,36.05214592
64,10,2322.703738,45.608289
65,10,2370.969361,52.6138355
66,10,2427.931409,56.332459
67,10,2483.634279,46.95989258
70,10,2545.82716,23.15534483
71,10,2569.790633,26.4656685
72,10,2598.758497,31.434634
73,10,2632.659901,35.5625875
74,10,2669.883672,31.75045917
77,10,2715.875243,36.96915342
78,10,2760.057273,47.576336
79,10,2811.027915,52.3667365
80,10,2864.790746,46.2365
84,10,2929.31545,17.5886408
85,10,2947.268457,20.1764075
86,10,2969.668265,24.6946025
87,10,2996.657662,29.064488
88,10,3027.797241,26.76778908
91,10,3068.754499,37.15863183
92,10,3113.748535,45.922449
93,10,3160.599397,47.784522
94,10,3209.317579,49.5626305
95,10,3259.724658,43.21252915
99,10,3317.461977,21.94751475
100,10,3341.287788,25.433162
101,10,3368.328301,28.6138885
102,10,3398.515565,27.915386
112,10,3450.481625,9.735959636
113,10,3460.67152,12.8777035
114,10,3476.237032,18.0111465
115,10,3496.693813,22.5908115
116,10,3521.418655,20.78312567
119,10,3548.292585,23.42538392
120,10,3576.540438,29.395079
121,10,3607.082743,31.229266
122,10,3638.99897,33.0634525
123,10,3673.209648,29.27362575
126,10,3716.597055,15.1030695
127,10,3731.913658,17.928811
128,10,3752.454677,22.1731545
129,10,3776.259967,25.4369795
130,10,3803.328636,23.15978617
133,10,3837.628049,29.15386642
134,10,3872.688825,36.3054075
135,10,3910.238864,38.1381415
136,10,3948.965108,33.22277025
140,10,3993.800609,11.25321905
141,10,4005.064914,10.4766665
143,10,4022.867693,16.1562925
144,10,4042.651437,16.85437742
147,10,4066.85027,20.88024917
148,10,4092.001843,26.7615865
149,10,4120.373443,29.176051
150,10,4150.353945,30.425239
151,10,4181.223921,25.77345292
154,10,4212.675572,9.318141667
155,10,4221.605133,10.899676
156,10,4234.474924,14.647484
157,10,4250.900101,16.7933955
158,10,4268.061715,14.89068167
161,10,4292.295369,24.83806292
162,10,4322.720158,28.0836045
163,10,4348.462578,23.036413
169,10,4389.264804,7.953493
170,10,4397.410484,11.221332
171,10,4411.707468,11.7836885
172,10,4420.977861,13.176762
173,10,4438.060992,14.37427658
176,10,4456.804132,5.415209226
180,10,4474.024947,7.246710179
183,10,4502.383467,2.80789925
184,10,4502.976386,7.239135
185,10,4516.861737,20.9797025
186,10,4544.935791,23.530834
187,10,4563.923405,16.20294142
190,10,4587.470176,19.63257742
191,10,4611.030638,23.184183
192,10,4633.838542,23.437448
193,10,4657.905534,20.5938553
197,10,4684.710768,7.9790569
198,10,4693.009262,7.327662083
201,10,4706.254761,4.542483167
204,10,4720.264161,14.8767465
205,10,4738.543223,15.53947625
208,10,4760.50538,7.317332667
211,10,4782.447219,15.19675583
212,10,4800.271578,20.238074
213,10,4822.923367,22.2387675
214,10,4844.749113,22.671875
215,10,4868.267117,21.63612948
225,10,4896.44096,9.077588573
226,10,4906.144569,8.832299595
232,10,4927.771228,15.21411731
233,10,4944.920291,18.4081395
234,10,4964.587507,15.40965433
236,10,4978.376569,6.098594333
239,10,4993.090637,27.43702983
240,10,5028.038447,35.9414105
241,10,5064.973458,29.59046
243,10,5094.776174,12.81054213
246,10,5123.799129,10.35859767
249,10,5156.92776,10.30483661
253,10,5194.210891,6.95683095
254,10,5200.576734,5.668734
260,10,5209.493214,2.17102167
267,10,5230.284056,4.936868036
268,10,5235.501888,4.98243219
274,10,5256.922088,3.201650125
281,10,5276.325176,6.231428339
282,10,5283.050827,6.244617982
289,10,5303.192535,2.939213429
296,10,5324.199815,3.0884355
303,10,5346.430632,3.709035286
310,10,5376.126309,8.683976196
311,10,5385.444819,8.496819667
317,10,5406.844885,3.728337996
324,10,5434.263477,3.446061589
325,10,5437.64227,3.288995901
338,10,5465.223507,13.48337862
339,10,5479.580866,12.92768645
345,10,5505.678773,4.206671353
352,10,5533.957804,8.470243321
353,10,5543.060959,8.170501667
358,10,5560.597134,3.427741106
366,10,5587.001541,3.944745653
367,10,5591.026811,3.905859286
373,10,5610.163181,3.214858341
380,10,5632.87514,2.64709281
394,10,5653.205202,10.29801715
395,10,5664.135067,9.812029667
401,10,5682.765173,3.378622766
408,10,5708.649974,12.22306771
409,10,5722.090933,12.07755595
415,10,5745.473759,3.904605447
422,10,5772.866984,0.934012982
423,10,5773.375382,0.571356907
436,10,5791.443077,2.486204907
437,10,5794.013619,2.518169119
443,10,5807.23721,2.400121822
450,10,5825.640281,13.06631714
451,10,5840.197642,13.7094352
464,10,5875.12084,9.862244918
465,10,5885.535073,9.860824843
479,10,5915.118622,15.17475258
480,10,5931.226349,15.20251987
494,10,5966.641029,17.1642652
495,10,5984.850626,16.17085855
501,10,6008.481193,3.686131075
508,10,6032.223687,8.238881607
509,10,6041.155011,8.055627381
515,10,6057.963697,2.962892656
522,10,6080.022413,9.899101518
523,10,6090.885494,10.2047185
536,10,6112.283572,2.590340026
542,10,6130.440691,2.904940973
549,10,6149.785106,13.84738861
550,10,6165.215909,13.755871
556,10,6187.453583,3.496810099
563,10,6210.220591,7.003394839
564,10,6217.759838,6.817867821
571,10,6230.137333,2.006794623
577,10,6243.405089,1.807465524
578,10,6245.14525,1.678435886
592,10,6256.54523,10.74890055
593,10,6268.003746,10.79838592
607,10,6289.795653,2.955668986
608,10,6292.851258,2.817776945
621,10,6289.289417,7.336978088
622,10,6297.211854,7.436475165
635,10,6311.758481,0.982263022
636,10,6312.730228,0.971227907
649,10,6325.268464,5.071582049
650,10,6330.655977,5.076614676
663,10,6344.110151,1.034936462
