Day,Dose,Elution
84,2,1443.364431
85,2,1451.272431
86,2,1461.040049
87,2,1472.882045
88,2,1487.420514
91,2,1506.345179
92,2,1528.046431
93,2,1550.931926
94,2,1574.520664
95,2,1599.228955
99,2,1625.233703
100,2,1639.81708
101,2,1653.510645
102,2,1668.60873
112,2,1693.238913
113,2,1694.264086
114,2,1696.582421
115,2,1701.472118
116,2,1707.996255
119,2,1712.98002
120,2,1718.431874
121,2,1724.833673
122,2,1731.758629
123,2,1739.93641
126,2,1752.685035
127,2,1758.574198
128,2,1766.920042
129,2,1777.016007
130,2,1788.369938
133,2,1805.116017
134,2,1821.353482
135,2,1838.956581
136,2,1857.3074
140,2,1879.220636
141,2,1882.46412
143,2,1886.966076
144,2,1892.363235
147,2,1898.733438
148,2,1904.383279
149,2,1912.391798
150,2,1921.042571
151,2,1930.322491
154,2,1939.574027
155,2,1940.52759
156,2,1943.82297
157,2,1949.727219
158,2,1953.475887
161,2,1962.371448
162,2,1977.207212
163,2,1985.517197
169,2,2007.436068
170,2,2009.792338
171,2,2015.126981
172,2,2014.426389
173,2,2020.272214
176,2,2025.612037
180,2,2026.843664
183,2,2037.145948
184,2,2031.812582
185,2,2034.615309
186,2,2036.51568
187,2,2041.116079
190,2,2048.048926
191,2,2054.459436
192,2,2059.935436
193,2,2066.127513
197,2,2073.024934
198,2,2073.190142
201,2,2074.105963
204,2,2072.534032
205,2,2074.228984
208,2,2078.493703
211,2,2082.185294
212,2,2093.2069
213,2,2106.124077
214,2,2116.819212
215,2,2127.190424
225,2,2140.245958
226,2,2148.262624
232,2,2160.132462
233,2,2167.12765
234,2,2175.080674
236,2,2175.846137
239,2,2175.537897
240,2,2204.902846
241,2,2234.732203
243,2,2255.908229
246,2,2275.243436
249,2,2297.654911
253,2,2321.161756
254,2,2321.332736
260,2,2318.837225
267,2,2326.121875
268,2,2327.380347
274,2,2339.638089
281,2,2344.741171
282,2,2346.904434
289,2,2355.219888
296,2,2361.210463
303,2,2369.215383
310,2,2381.49413
311,2,2382.797045
317,2,2389.745923
324,2,2398.357374
325,2,2401.18102
338,2,2411.546656
339,2,2418.278735
345,2,2428.973056
352,2,2438.394131
353,2,2442.081108
358,2,2447.886726
366,2,2458.882247
367,2,2455.905449
373,2,2459.382464
380,2,2461.052097
394,2,2464.024371
395,2,2467.242491
401,2,2472.742579
408,2,2482.037479
409,2,2490.235077
415,2,2500.51681
422,2,2511.904741
423,2,2504.89018
436,2,2505.229805
437,2,2498.404675
443,2,2494.519374
450,2,2494.403395
451,2,2502.433528
464,2,2518.65739
465,2,2521.81098
479,2,2531.005001
480,2,2539.66304
494,2,2557.27189
495,2,2566.790739
501,2,2577.459546
508,2,2580.776148
509,2,2581.409238
515,2,2583.77443
522,2,2589.508231
523,2,2594.456086
536,2,2599.761124
542,2,2602.182189
549,2,2604.277751
550,2,2609.115473
556,2,2616.361648
563,2,2620.889995
564,2,2617.933825
571,2,2614.451834
577,2,2609.502228
578,2,2598.803488
592,2,2591.926058
593,2,2594.702735
607,2,2601.496955
608,2,2596.12371
621,2,2577.06309
622,2,2577.590529
635,2,2578.459139
636,2,2572.4815
649,2,2566.030519
650,2,2561.652611
663,2,2558.368275
1,1,12.40869303
2,1,35.72555364
3,1,79.29298373
4,1,128.1277419
8,1,187.6782729
9,1,252.2209067
10,1,316.816089
11,1,383.5086496
14,1,447.2779544
15,1,458.9051144
16,1,473.1720186
17,1,490.3614804
18,1,510.7594839
21,1,537.0182324
22,1,564.9740078
23,1,601.5935302
24,1,636.4074632
25,1,675.3195905
28,1,722.6246113
29,1,722.6633613
30,1,726.7976593
31,1,732.9355313
32,1,740.6209191
35,1,757.645118
36,1,778.5130478
37,1,801.1317724
38,1,824.9477317
39,1,850.4194467
42,1,883.0599253
43,1,874.7763989
44,1,858.6947966
46,1,851.7923796
52,1,846.8675105
53,1,830.3134617
56,1,820.2795132
57,1,831.9012957
58,1,844.4297362
59,1,858.0756787
60,1,873.5592914
63,1,893.2037812
64,1,908.9605611
65,1,926.9856573
66,1,946.4906062
67,1,967.7597598
70,1,990.2256117
71,1,1002.616788
72,1,1015.143138
73,1,1029.02671
74,1,1043.523943
77,1,1060.455017
78,1,1073.734001
